Code X_L2E Y_L2E
H2452010  742213.00 2298149.00
H2452020  742413.00 2298149.00
H2462020  719713.00 2324949.00
H2473010  716313.00 2335549.00
H2482010  695313.00 2332549.00
H2482020  708413.00 2331249.00
H2501010  677613.00 2331849.00
H2501020  676713.00 2332649.00
H2513110  676113.00 2327149.00
H2513410  669513.00 2331249.00
H2602010  701813.00 2361349.00
H2622010  682213.00 2354549.00
H2701030  664813.00 2365449.00
H2721010  660813.00 2370449.00
H3001020  651313.00 2297549.00
H3021010  636313.00 2318049.00
H3023210  637413.00 2319749.00
H3023211  640013.00 2318249.00
H3029810  638813.00 2315449.00
H3029910  642413.00 2317249.00
H3102010  671713.00 2304149.00
H3113010  657813.00 2310349.00
H3113020  665113.00 2298049.00
H3113310  658313.00 2295849.00
H3113320  659513.00 2294749.00
H3113330  657913.00 2296149.00
H3122010  656413.00 2320949.00
H3122020  638113.00 2327749.00
H3201010  629513.00 2337449.00
H3203110  630513.00 2316849.00
H3203120  630113.00 2327749.00
H3203310  627213.00 2324749.00
H3322010  625213.00 2333749.00
H3403101  643513.00 2339949.00
H3403102  633313.00 2345949.00
H3403201  636213.00 2349249.00
H3403410  642213.00 2346949.00
H3409001  643413.00 2340049.00
H3522010  622413.00 2345749.00
H3613010  638913.00 2360849.00
H3613020  632513.00 2370049.00
H3621010  633413.00 2371049.00
H3623010  651013.00 2362149.00
H3623020  649613.00 2363549.00
H3923010  633213.00 2396849.00
H3930020  615813.00 2393149.00
H3943010  615213.00 2388149.00
H3953120  618913.00 2396649.00
H3953130  617013.00 2396149.00
H3953140  620613.00 2396549.00
H3953210  618213.00 2397349.00
H4002010  595613.00 2352749.00
H4022010  600613.00 2386849.00
H4022020  600813.00 2385049.00
H4022030  606713.00 2362149.00
H4033010  582613.00 2370449.00
H4033020  597213.00 2391649.00
H4042010  602713.00 2393349.00
H4103210  612113.00 2405049.00
H4103220  612713.00 2405449.00
H4202010  581013.00 2393349.00
H4202020  583613.00 2394049.00
H4223110  577613.00 2396849.00
H4232040  598713.00 2407449.00
H4243010  592413.00 2411349.00
H4252010  600313.00 2407649.00
H4312010  643213.00 2406449.00
H4322010  641813.00 2405949.00
H4322020  630713.00 2405749.00
H4322030  641513.00 2405649.00
H4332010  608413.00 2413049.00
H4332020  611113.00 2412949.00
H4332040  620313.00 2408049.00
H4333410  620113.00 2414549.00
H4340010  607913.00 2414449.00
H4340011  607913.00 2414449.00
H4340020  606013.00 2420349.00
H5011020  817213.00 2338749.00
H5023010  819713.00 2341849.00
H5031020  808513.00 2352849.00
H5033310  813513.00 2335249.00
H5033340  807513.00 2348849.00
H5042010  821413.00 2360949.00
H5053210  825713.00 2369649.00
H5062010  809713.00 2375449.00
H5071010  791113.00 2407349.00
H5071040  799413.00 2404249.00
H5071050  809313.00 2379049.00
H5083010  789113.00 2399649.00
H5083020  794513.00 2369449.00
H5083050  791613.00 2393949.00
H5083070  794413.00 2370349.00
H5091010  765613.00 2413749.00
H5091011  765613.00 2413749.00
H5102010  818613.00 2389849.00
H5102020  797213.00 2422949.00
H5102030  795813.00 2424049.00
H5102040  816913.00 2397549.00
H5112310  827513.00 2404749.00
H5122310  805213.00 2425449.00
H5122320  818113.00 2416549.00
H5122330  789213.00 2427049.00
H5122340  816513.00 2418049.00
H5122350  803013.00 2427249.00
H5123210  818313.00 2416549.00
H5142610  799513.00 2435149.00
H5142620  787213.00 2427549.00
H5153010  777913.00 2425249.00
H5172010  768513.00 2418849.00
H5173110  773713.00 2419149.00
H5201010  747713.00 2441349.00
H5201011  747813.00 2441049.00
H5201013  747713.00 2441349.00
H5201014  747713.00 2441349.00
H5201020  739513.00 2445949.00
H5204210  747013.00 2435749.00
H5213310  737013.00 2428349.00
H5224310  717913.00 2448749.00
H5243010  697813.00 2455849.00
H5302010  687413.00 2448149.00
H5302020  686313.00 2451949.00
H5321010  657513.00 2438849.00
H5412010  688013.00 2430049.00
H5412020  659713.00 2437249.00
H5503010  665413.00 2475749.00
H5522010  666613.00 2466649.00
H5613020  645913.00 2447049.00
H5702010  679613.00 2421649.00
H5714610  669413.00 2415949.00
H5714620  669313.00 2413849.00
H5714630  669813.00 2415249.00
H5723010  657013.00 2425649.00
H5723011  657013.00 2425649.00
H5723020  657313.00 2425849.00
H5723021  657313.00 2425849.00
H5723030  659713.00 2428949.00
H5723210  662513.00 2430149.00
H5723211  662513.00 2430149.00
H5726510  654413.00 2431849.00
H5726520  657913.00 2430849.00
H5726530  659113.00 2428149.00
H5726610  657813.00 2431049.00
H5732010  649713.00 2424549.00
H5732011  649813.00 2424649.00
H5752020  638013.00 2431849.00
H5752030  642313.00 2427649.00
H5813010  624613.00 2442249.00
H5833010  626713.00 2429249.00
H5833410  625013.00 2428749.00
H5841010  620913.00 2428949.00
H5841011  620913.00 2428949.00
H5841020  617013.00 2428749.00
H5841025  616913.00 2429449.00
H5913010  587013.00 2418549.00
