"","V1","V2","V3","V4","V5","V6"
"4709",39.8100311571941,55.1093831797235,63.537475499232,60.921950921659,70.2559879416283,63.8549951944776
"4710",47.3846625132275,70.7100241005291,80.7158138359788,82.6608214021164,85.0428847883598,88.3574043650794
"4711",34.6298200972862,55.2615503072197,60.7082547619048,62.0736444700461,68.7907370967742,77.4024874295955
"4712",29.9542324116743,41.9138819252432,37.9537579109063,42.7566217101894,41.943076702509,43.4218816180236
"4713",49.1174213227513,65.8639649206349,57.8514322751323,64.8170063492064,62.8154624338624,67.5074507407407
"4714",51.7565674603175,102.764038735279,103.416238940092,102.442851996928,114.382266180236,113.968332130056
"4715",47.7931355291005,74.3288428835979,72.9551552116402,73.1625237830688,73.1776554232804,75.8076528306878
"4716",12.0285336917563,35.5155527393753,39.9440923195084,38.6459261648746,36.4611562724014,35.3430971326165
"4717",19.262324577573,46.9894879596442,47.7395679277844,48.6094676224612,47.5633084826762,46.7324938802602
"4718",13.2398389680585,34.5426724323638,43.8425543057836,44.0438881601087,43.2235122088427,43.6387031269639
"4719",27.6398382744496,46.3268588581669,53.3580526625704,51.089868339307,51.0673696269746,52.794823655914
"4720",70.720203968254,90.1052186772487,97.6121536507937,100.060187089947,92.0140488888889,83.8961961591221
"4721",131.906220506912,182.774277137737,173.949324347158,161.739696594982,176.445587839222,156.805452329749
"4722",89.4523736243386,104.628265529101,108.714322619048,126.70462537037,127.000426481481,126.165736375661
"4723",52.5111269073221,87.5994083717358,89.3021806195596,108.22584390681,113.741120404506,131.416007706093
"4724",43.0315979006656,75.4893415770609,80.3914669738863,101.466257450077,106.759380952381,114.605629902714
"4725",93.7796336772487,112.04871478836,101.243498280423,125.098602777778,116.104839074074,120.33548526455
"4726",115.807185509473,218.955802355351,232.961155606759,226.328292473118,251.503190424987,259.421065693804
"4727",90.9605482539683,140.636336349206,145.501197724868,146.823374285714,140.850030529101,146.604887142857
"4728",27.952267921147,65.2639523041475,67.0721240911418,67.5277452892985,67.5581682283666,65.2355588581669
"4729",31.4656009728623,43.2272061330147,52.5825694145759,52.1543778308775,47.6614295765299,52.5797738218505
"4730",22.1209950846431,36.6624846420752,42.9263329927629,41.1153571388027,43.1179736909323,39.6832544811369
"4731",20.8032556067588,30.0469304659498,32.8615332309268,43.1927916102482,41.4696209743794,49.1525390150007
"4732",36.2175691798942,46.2496322486773,43.0847563756614,45.5453951587302,48.2921044993141,44.1748288340192
"4733",27.5877538914491,32.0631519457245,32.3278379672299,35.2976686379928,37.7326233230927,42.8385691225275
"4734",12.8748053439153,15.7176537566138,16.6713343915344,16.7207694708995,16.8094973015873,16.1061017989418
"4735",5.0371366359447,5.53061338965694,5.44102311827957,5.4306729390681,5.08585527393753,5.561531515617
"4736",8.3406092421915,7.59471354326677,7.76173197644649,8.18144083461342,7.54881072708653,7.1354996671787
"4737",39.8611522486773,36.5463135185185,35.303183994709,38.2704088624339,37.5572163756614,39.4705956878307
"4738",51.7835507168459,72.8053158474142,74.2190996159754,71.3992454941116,77.2204532770097,86.4565407322069
"4739",97.6722265079365,93.3663376190476,89.6487942857143,94.2981038095238,87.0526229100529,98.4834611111111
"4740",37.5765790578597,64.6622925755248,66.0503936507937,55.7754558115719,61.5401214541731,54.5945810547875
"4741",73.3209102918587,114.080148652595,135.793405575468,127.925618133546,121.40376697199,135.311466958715
"4742",67.6983301215889,99.1421332825084,106.89852124815,97.2962694936042,97.2803236524154,91.9359796722009
"4743",76.4459117767537,115.542391039427,111.707975729647,119.778437594584,118.098948307447,137.808727943714
"4744",154.671447671958,204.73448978836,210.191518835979,217.855091746032,220.69867744856,203.168310754458
"4745",230.835437711214,305.575927521761,322.744781490015,310.813611699949,342.12046515617,315.230885649808
"4746",143.341046825397,192.067004497355,200.374602328042,220.436998201058,212.312597460317,226.412074497354
"4747",85.0507661802355,125.163942012289,116.268489426523,134.534869354839,142.487469303635,160.972637352791
"4748",82.6014775217614,121.075121146953,115.618938146441,140.512460880696,144.517334818228,150.437662467998
"4749",211.84854484127,236.141582354497,213.322066005291,257.327067804233,244.413647751323,243.255422301587
"4750",307.294066333845,535.029558806964,536.28994733743,543.688966026626,575.316068945212,609.835524193548
